agent,episodes,successful_episodes,success_rate,average_reward,reward_std,average_steps,steps_std,average_visited_states,average_successful_actions,average_failed_actions
ppo,3,3,1.0,17.5,0.0,1,0.0,2,1,0
random,3,1,0.3333333333333333,-1.8333333333333333,10.92652226872251,8,2.8284271247461903,1.6666666666666667,8,0
